Date,Close,Open,High,Low,Volume,Change %,Advances,Declines
06-11-1995,988.92,1001.53,1001.53,988.92,,-1.11%,0,0
07-11-1995,978.22,987.17,987.17,977.05,,-1.08%,0,0
08-11-1995,964.01,976.28,976.28,962.98,,-1.45%,0,0
09-11-1995,953.07,960.32,960.32,952.13,,-1.13%,0,0
10-11-1995,948.82,951.93,951.93,946,,-0.45%,0,0
13-11-1995,917.26,949.29,949.29,916.48,,-3.33%,0,0
14-11-1995,902.56,916.66,916.66,897.52,,-1.60%,0,0
15-11-1995,913.21,901.33,913.54,901.33,,1.18%,0,0
16-11-1995,904.08,915.96,915.96,900.83,,-1.00%,0,0
17-11-1995,898.86,898.72,900.41,885.31,,-0.58%,0,0
20-11-1995,892.79,896.27,898.86,892.05,,-0.68%,0,0
21-11-1995,876.59,891.96,891.96,876,,-1.81%,0,0
22-11-1995,864.42,878,878,856.92,,-1.39%,0,0
23-11-1995,849.5,856.2,856.2,842.33,,-1.73%,0,0
24-11-1995,871.11,849.6,874.97,849.6,,2.54%,0,0
27-11-1995,861.25,871.94,878.58,858.93,,-1.13%,0,0
28-11-1995,843.68,854.5,854.5,841.44,,-2.04%,0,0
29-11-1995,845.12,845.36,845.36,822.54,,0.17%,0,0
30-11-1995,862.1,840.87,863.98,838.36,,2.01%,0,0
01-12-1995,873.05,867.99,877.41,866.37,,1.27%,0,0
04-12-1995,863.7,870.29,873.05,861.97,,-1.07%,0,0
05-12-1995,866.52,860.02,867.59,854.47,,0.33%,0,0
06-12-1995,878.93,870.39,878.93,868.12,,1.43%,0,0
07-12-1995,898.62,881.97,901.25,881.97,,2.24%,0,0
08-12-1995,887.12,900.28,908.12,886.54,,-1.28%,0,0
11-12-1995,877.41,882.58,882.58,874.37,,-1.09%,0,0
12-12-1995,879.49,878.99,880.08,875.43,,0.24%,0,0
13-12-1995,889.26,881.3,889.26,881.3,,1.11%,0,0
14-12-1995,884.34,890.81,891.98,884.31,,-0.55%,0,0
15-12-1995,883.41,876.95,883.85,875.5,,-0.11%,0,0
18-12-1995,882.63,883.29,883.58,881.17,,-0.09%,0,0
19-12-1995,883.72,882.35,884.19,879.54,,0.12%,0,0
20-12-1995,885.53,883.68,887.19,883.68,,0.20%,0,0
21-12-1995,900.5,888.25,900.5,887.73,,1.69%,0,0
22-12-1995,900.65,900.86,906.63,899.38,,0.02%,0,0
26-12-1995,905.33,899.87,906.47,898.41,,0.52%,0,0
27-12-1995,922.5,908.81,923.09,908.81,,1.90%,0,0
28-12-1995,914.55,923.67,927.6,913.76,,-0.86%,0,0
29-12-1995,908.53,912.72,912.72,906.32,,-0.66%,0,0
01-01-1996,908.01,913.11,913.11,906.15,,-0.06%,0,0
02-01-1996,900.38,906.78,906.78,899.52,,-0.84%,0,0
03-01-1996,895.96,901.66,904.48,895.48,,-0.49%,0,0
04-01-1996,889.67,891.37,891.37,884.1,,-0.70%,0,0
05-01-1996,884.73,887.79,887.79,881.74,,-0.56%,0,0
08-01-1996,869.7,883.64,883.64,868.44,,-1.70%,0,0
09-01-1996,869.12,864.84,870.71,856.77,,-0.07%,0,0
10-01-1996,863.8,863.86,869.01,863.8,,-0.61%,0,0
11-01-1996,873.27,862.62,873.72,861.97,,1.10%,0,0
12-01-1996,875.15,875.11,877.6,872.1,,0.22%,0,0
15-01-1996,871.32,878.74,878.74,870.98,,-0.44%,0,0
16-01-1996,868.52,871.29,871.29,866.64,,-0.32%,0,0
17-01-1996,857.11,866,866,857.11,,-1.31%,0,0
18-01-1996,848.83,853.28,853.28,841.79,,-0.97%,0,0
19-01-1996,843.99,846.66,847.17,840.18,,-0.57%,0,0
22-01-1996,844.31,844.83,847.12,844.04,,0.04%,0,0
23-01-1996,832.9,846.05,846.05,830.83,,-1.35%,0,0
24-01-1996,818.69,831.17,831.17,816,,-1.71%,0,0
25-01-1996,814.92,819.56,819.56,814.34,,-0.46%,0,0
29-01-1996,830.88,813.12,832.23,813.12,,1.96%,0,0
30-01-1996,846.57,836.14,848.13,836.14,,1.89%,0,0
31-01-1996,848.42,843.19,852.75,843.19,,0.22%,0,0
01-02-1996,869.54,848.28,869.54,848.28,,2.49%,0,0
02-02-1996,918.31,878.5,919.82,878.5,,5.61%,0,0
05-02-1996,943.08,933.14,949.16,927.65,,2.70%,0,0
06-02-1996,925.71,943.75,947.89,919.99,,-1.84%,0,0
07-02-1996,932.02,918.97,932.02,913.22,,0.68%,0,0
08-02-1996,980.27,936.72,983.25,936.72,,5.18%,0,0
09-02-1996,1033.02,1001.85,1033.02,980.27,,5.38%,0,0
12-02-1996,1018.51,1032.47,1045.81,1018.51,,-1.40%,0,0
13-02-1996,1027.36,1019.69,1030.3,1006.28,,0.87%,0,0
14-02-1996,1051.99,1040.91,1067.49,1040.91,,2.40%,0,0
15-02-1996,1046.24,1048.14,1053.19,1042.36,,-0.55%,0,0
16-02-1996,1023.08,1040.84,1040.84,1020.46,,-2.21%,0,0
19-02-1996,1021.38,1027.2,1028.26,1019.93,,-0.17%,0,0
20-02-1996,1000.13,1021.08,1021.08,999.93,,-2.08%,0,0
22-02-1996,1024.91,1006.84,1025.44,1006.84,,2.48%,0,0
23-02-1996,1028.84,1025.36,1029.64,1019.45,,0.38%,0,0
26-02-1996,1034.73,1035.02,1045.15,1034.52,,0.57%,0,0
27-02-1996,1027.45,1034.28,1034.28,1024.65,,-0.70%,0,0
