Date,Close,Open,High,Low,Volume,RSI,MACD,MACD Signal,Upper_Bollinger_Band,Middle_Bollinger_Band,Lower Bollinger Band,ADX,Stochastic SlowK,Stochastic SlowD,wk_close,wk_rsi,wk_macd,mon_close,mon_rsi,mon_macd
01-01-1996,12.20525551,18.69114685,18.97892189,18.54018402,43733533,,,,,,,,,,,,,,,
02-01-1996,11.81676483,18.89400482,18.96476746,17.7381916,56167280,,,,,,,,,,,,,,,
03-01-1996,11.50169468,18.3278923,18.56848907,17.64383888,68296318,,,,,,,,,,,,,,,
04-01-1996,11.46192932,17.50231171,17.83254242,17.22397232,86073880,,,,,,,,,,,,,,,
05-01-1996,11.39768887,17.7381916,17.78536606,17.45985222,76613039,,,,,,,,,,,,,,,
08-01-1996,11.06426144,17.47872353,17.64383888,16.92204666,55395172,,,,,,,,,,11.39768887,,,,,
09-01-1996,11.66993618,16.88902283,18.6817112,16.70503616,82057540,,,,,,,,,,11.39768887,,,,,
10-01-1996,11.13461971,17.40795898,17.71460342,17.05413818,54360749,,,,,,,,,,11.39768887,,,,,
11-01-1996,11.5598135,16.98337555,17.92689514,16.98337555,65973105,,,,,,,,,,11.39768887,,,,,
12-01-1996,11.56593227,17.87971878,18.23353958,17.57307434,102152486,,,,,,,,,,11.39768887,,,,,
15-01-1996,11.60263729,18.02124786,18.20051765,17.78536606,68169665,,,,,,,,,,11.56593227,,,,,
16-01-1996,11.84735298,17.90330696,19.53088188,17.78536606,92497161,,,,,,,,,,11.56593227,,,,,
17-01-1996,11.36098003,17.8561306,17.9740715,17.45513535,65477620,,,,,,,,,,11.56593227,,,,,
18-01-1996,11.28450871,17.31832504,17.62496948,17.12490273,67620657,,,,,,,,,,11.56593227,,,,,
19-01-1996,11.41910362,17.29001808,17.67214584,17.29001808,47652365,39.35376086,,,,,,,,,11.56593227,,,,,
22-01-1996,11.81676483,17.7381916,18.31373978,17.7004509,81512772,45.65696736,,,,,,,,,11.41910362,,,,,
23-01-1996,11.94218445,18.38922119,18.77134705,18.16277695,130297068,47.50995091,,,,,,,,,11.41910362,,,,,
24-01-1996,11.5384016,17.83254242,17.92689514,17.35134888,54484752,42.48708374,,,,,,,,,11.41910362,,,,,
25-01-1996,11.64852238,18.11560059,18.27599716,17.87971878,67701207,44.21912606,,,,,,,,,11.41910362,,,,,
26-01-1996,11.64852238,17.96463585,17.96463585,17.96463585,0,44.21912606,,,12.10429363,11.57434373,11.04439383,,-178.8448553,-178.9723723,11.41910362,,,,,
29-01-1996,12.18078327,18.16277695,18.96005058,18.0731411,75689901,52.27581035,,,12.09731927,11.57312012,11.04892096,,-186.0411212,-181.2628997,11.64852238,,,,,
30-01-1996,12.45303154,19.05912018,19.70071411,18.58736038,89163372,55.79293652,,,12.24813846,11.60493345,10.96172845,,-172.1091746,-178.9983837,11.64852238,,,,,
31-01-1996,12.02783394,18.77606392,19.12988472,18.21466827,56831282,49.63988545,,,12.29801007,11.63124042,10.96447077,,-190.6504961,-182.9335973,11.64852238,,,12.02783394,,
01-02-1996,12.62433243,18.42224312,19.6252327,18.42224312,96599349,56.83228189,,,12.4783999,11.68936057,10.90032125,,-179.7254493,-180.8283733,11.64852238,,,12.02783394,,
02-02-1996,13.49613857,19.86111259,20.94616127,19.71958542,106010376,64.75508161,,,12.89629168,11.79428306,10.69227443,,-115.9225433,-162.0994962,11.64852238,,,12.02783394,,
05-02-1996,14.34652519,21.08769035,22.88038063,21.08769035,160942920,70.45187743,,,13.47592454,11.95839624,10.44086795,,-59.71512623,-118.4543729,13.49613857,,,12.02783394,,
06-02-1996,14.46888828,22.45579529,23.16343689,21.79533005,147345446,71.17388047,,,13.96071412,12.09834385,10.23597358,,-39.58599807,-71.74122253,13.49613857,,,12.02783394,,
07-02-1996,14.21499348,21.59719276,22.36144257,20.75745773,67480756,67.48894538,,,14.27320995,12.25236254,10.23151512,30.04704576,-41.93120607,-47.07744346,13.49613857,,,12.02783394,,
08-02-1996,14.61877441,21.98875237,22.90396881,21.57832146,52796395,70.13695728,,,14.64457566,12.40531058,10.16604551,31.07758799,-41.11876365,-40.87865593,13.49613857,,,12.02783394,,
09-02-1996,15.65270424,22.76243973,24.46077728,22.35200882,74580228,75.61413646,,,15.22029909,12.60964918,9.998999275,32.68122784,-25.04791203,-36.03262725,13.49613857,,,12.02783394,,
12-02-1996,14.73501301,23.87107658,24.26735687,22.45579529,81608160,64.33534142,,,15.48986758,12.76626797,10.04266836,34.17032198,-30.42249765,-32.19639111,15.65270424,,,12.02783394,,
13-02-1996,14.81454945,22.66808891,23.10682487,22.03121185,83711982,64.82506081,,,15.74308369,12.91462779,10.0861719,35.01520043,-40.69177505,-32.05406158,15.65270424,,,12.02783394,,
14-02-1996,15.24892044,23.68237305,24.04562759,23.39931679,52251098,67.45347173,,,16.01694883,13.10902481,10.20110079,36.20310049,-41.15212677,-37.42213316,15.65270424,,,12.02783394,,
15-02-1996,15.16020966,23.39931679,23.77672577,23.13984871,40662588,66.36282263,0.981558324,0.770101279,16.21511334,13.30280986,10.39050637,36.9791776,-44.27864453,-42.04084878,15.65270424,,,12.02783394,,
16-02-1996,14.80537319,23.20589447,23.25307083,22.67752266,41113559,62.04165962,0.953255348,0.806732093,16.31970351,13.47212334,10.62454316,37.12465253,-52.12631397,-45.85236176,15.65270424,,,12.02783394,,
19-02-1996,14.90631866,22.92755508,23.30496407,22.88038063,29196493,62.78407658,0.928269973,0.831039669,16.43312919,13.62660103,10.82007287,37.28837655,-53.49022813,-49.96506221,14.80537319,,,12.02783394,,
20-02-1996,14.44135475,23.02190781,23.04077721,22.08782196,30560533,57.2315195,0.861024823,0.8370367,16.46807471,13.75155954,11.03504437,36.46859105,-63.41892557,-56.34515589,14.80537319,,,12.02783394,,
21-02-1996,14.44135475,22.27180862,22.27180862,22.27180862,0,57.2315195,0.798527628,0.829334885,16.42864977,13.8967072,11.36476463,35.70736166,-100.5793084,-72.49615401,14.80537319,,,12.02783394,,
22-02-1996,14.84207916,22.68224144,22.97001457,22.55014801,21638101,60.70508721,0.772429179,0.817953744,16.39660378,14.05638504,11.7161663,35.48095888,-148.8598766,-104.2860368,14.80537319,,,12.02783394,,
23-02-1996,15.06232452,22.92755508,23.35214043,22.57845306,46653977,62.50745146,0.760748495,0.806512694,16.32538533,14.22707515,12.12876496,35.51516832,-159.1875655,-136.2089168,14.80537319,,,12.02783394,,
