Date,Close,Open,High,Low,Volume,RSI,MACD,MACD Signal,Upper Bollinger Band,Middle Bollinger Band,Lower Bollinger Band,ADX,Stochastic SlowK,Stochastic SlowD,wk_close,wk_rsi,wk_macd,mon_close,mon_rsi,mon_macd
1996-01-01,12.205254554748535,18.691146850585938,18.97892189025879,18.540184020996094,43733533,,,,,,,,,,,,,,,
1996-01-02,11.816766738891602,18.894004821777344,18.964767456054688,17.738191604614258,56167280,,,,,,,,,,,,,,,
1996-01-03,11.501693725585938,18.3278923034668,18.56848907470703,17.64383888244629,68296318,,,,,,,,,,,,,,,
1996-01-04,11.461928367614746,17.50231170654297,17.832542419433594,17.22397232055664,86073880,,,,,,,,,,,,,,,
1996-01-05,11.397687911987305,17.738191604614258,17.78536605834961,17.45985221862793,76613039,,,,,,,,,,,,,,,
1996-01-08,11.064263343811035,17.478723526000977,17.64383888244629,16.922046661376953,55395172,,,,,,,,,,11.397687911987305,,,,,
1996-01-09,11.66993522644043,16.889022827148438,18.68171119689941,16.705036163330078,82057540,,,,,,,,,,11.397687911987305,,,,,
1996-01-10,11.134618759155272,17.407958984375,17.714603424072266,17.05413818359375,54360749,,,,,,,,,,11.397687911987305,,,,,
1996-01-11,11.559814453125,16.983375549316406,17.926895141601562,16.983375549316406,65973105,,,,,,,,,,11.397687911987305,,,,,
1996-01-12,11.56593132019043,17.879718780517578,18.233539581298828,17.573074340820312,102152486,,,,,,,,,,11.397687911987305,,,,,
1996-01-15,11.602641105651855,18.02124786376953,18.200517654418945,17.78536605834961,68169665,,,,,,,,,,11.56593132019043,,,,,
1996-01-16,11.847357749938965,17.90330696105957,19.530881881713867,17.78536605834961,92497161,,,,,,,,,,11.56593132019043,,,,,
1996-01-17,11.360980033874512,17.856130599975586,17.974071502685547,17.455135345458984,65477620,,,,,,,,,,11.56593132019043,,,,,
1996-01-18,11.284507751464844,17.31832504272461,17.624969482421875,17.124902725219727,67620657,,,,,,,,,,11.56593132019043,,,,,
1996-01-19,11.419102668762209,17.29001808166504,17.67214584350586,17.29001808166504,47652365,39.353777359451634,,,,,,,,,11.56593132019043,,,,,
1996-01-22,11.816766738891602,17.738191604614258,18.313739776611328,17.700450897216797,81512772,45.6570140239316,,,,,,,,,11.419102668762209,,,,,
1996-01-23,11.942183494567873,18.38922119140625,18.77134704589844,18.162776947021484,130297068,47.50995133062465,,,,,,,,,11.419102668762209,,,,,
1996-01-24,11.538397789001465,17.832542419433594,17.926895141601562,17.351348876953125,54484752,42.48705806724551,,,,,,,,,11.419102668762209,,,,,
1996-01-25,11.648526191711426,18.1156005859375,18.275997161865234,17.879718780517578,67701207,44.21921435259173,,,,,,,,,11.419102668762209,,,,,
1996-01-26,11.648526191711426,17.964635848999023,17.964635848999023,17.964635848999023,0,44.21921435259173,,,12.104294937615885,11.574344205856324,11.044393474096765,,-178.84473151481106,-178.9723514156366,11.419102668762209,,,,,
1996-01-29,12.18078327178955,18.162776947021484,18.960050582885746,18.07314109802246,75689901,52.2758094105842,,,12.09732087456389,11.573120641708377,11.04892040885286,,-186.04107991430536,-181.2628247365437,11.648526191711426,,,,,
1996-01-30,12.453030586242676,19.059120178222656,19.700714111328125,18.58736038208008,89163372,55.79291666010817,,,12.248139233038724,11.604933834075927,10.96172843511313,,-172.10919057991617,-178.99833400301085,11.648526191711426,,,,,
1996-01-31,12.027835845947266,18.776063919067383,19.12988471984864,18.21466827392578,56831282,49.639915002260906,,,12.298011101600542,11.631240940093994,10.964470778587446,,-190.65044928210924,-182.93357325877687,11.648526191711426,,,12.027835845947266,,
1996-02-01,12.624330520629885,18.422243118286133,19.625232696533203,18.422243118286133,96599349,56.83226196301688,,,12.478400143212216,11.68936104774475,10.900321952277285,,-179.7254910500888,-180.82837697070468,11.648526191711426,,,12.027835845947266,,
1996-02-02,13.496135711669922,19.86111259460449,20.9461612701416,19.71958541870117,106010376,64.75505893906838,,,12.896290768063771,11.794283437728884,10.692276107393994,,-115.92261587075072,-162.0995187343162,11.648526191711426,,,12.027835845947266,,
1996-02-05,14.34652328491211,21.087690353393555,22.880380630493164,21.087690353393555,160942920,70.45186513571922,,,13.475923249343577,11.958396434783936,10.440869620224296,,-59.71517580848774,-118.45442757644236,13.496135711669922,,,12.027835845947266,,
1996-02-06,14.468887329101562,22.455795288085938,23.16343688964844,21.795330047607425,147345446,71.17387401290101,,,13.960712756504623,12.098344039916991,10.23597532332936,,-39.586024772112594,-71.7412721504503,13.496135711669922,,,12.027835845947266,,
1996-02-07,14.21499252319336,21.597192764282227,22.36144256591797,20.757457733154297,67480756,67.48893972610193,,,14.273208365038691,12.252362728118896,10.231517091199102,30.04704575900587,-41.93122465315119,-47.07747507791712,13.496135711669922,,,12.027835845947266,,
1996-02-08,14.618776321411133,21.988752365112305,22.90396881103516,21.57832145690918,52796395,70.1369690081776,,,14.6445746843698,12.405310821533202,10.166046958696604,31.077587990071297,-41.11874282933175,-40.87866408486513,13.496135711669922,,,12.027835845947266,,
1996-02-09,15.652704238891602,22.762439727783203,24.460777282714844,22.35200881958008,74580228,75.61413467836003,,,15.22029818579118,12.609649467468262,9.999000749145344,32.68122783920506,-25.047902973440785,-36.03262348530786,13.496135711669922,,,12.027835845947266,,
